feature,coef
presidential,-0.06328873273340557
sister work,-0.06327746281243511
contact phone,-0.06327236489826604
state mother,-0.06326152812118231
journalist,-0.06325883292227386
iranian university applicant,-0.06323575674969303
foreign influence guideline,-0.06321126819176118
influence guideline,-0.06321126819176118
2017 applicant visit,-0.06319957073655272
government brief supportive,-0.06319286653631409
government brief,-0.06319286653631409
brief supportive,-0.06319286653631409
attack little,-0.06310602902761883
august 2020 applicant,-0.06305872113597699
applicant afford,-0.0630488560795084
resident kenya,-0.06303170391187429
degrade treatment punishment,-0.06295986704474911
home country,-0.06294265302463707
currently living,-0.0629423881428511
iraq high risk,-0.06293541286126028
enter unite state,-0.06293510698928383
item applicant spouse,-0.06292294957824851
action applicant,-0.06283052020865781
54 year,-0.06278223070584464
applicant monthly contact,-0.06275665961654395
allege applicant brother,-0.06273731671414641
citizen country,-0.06268192867525042
applicant naturalize citizen,-0.06267495310709902
financial,-0.06266458067949719
unite arab emirate,-0.06261569905357936
applicant person contact,-0.06258233372604353
young daughter,-0.06257668490474436
2004 2008 applicant,-0.06250429740248016
freedom expression,-0.0624628431129544
passport,-0.062438838941190226
involve violence,-0.06229412848152904
music,-0.06229193455163557
jordanian passport,-0.06225824625624593
iran continue,-0.062239796717693356
citizen travel,-0.062233634565219166
iranian university,-0.0622239069338608
numerous terrorist insurgent,-0.062182648495711035
administrative,-0.06217604809743871
resources,-0.062164806018205336
citizen resident lebanon,-0.06215874734124046
states tr 53,-0.06213954492006878
china applicant spouse,-0.0621331217789665
admit sor,-0.06210219369986701
child live,-0.062062224441387835
june 2019,-0.062018598673587076
pertinent,-0.06197986154646035
threat violence,-0.0619300091412129
mother father sister,-0.0619061298893261
face,-0.0618406918846035
movement,-0.061823113073451647
2017 january 2018,-0.06176590478559132
government include,-0.06172063745882666
item applicant admit,-0.06161671521699165
hotel,-0.06152717151506326
15 000,-0.061518153811618376
foreign contacts,-0.06150635323839765
applicant flee,-0.06149159869986809
maintain weekly contact,-0.06143780242667965
hubs,-0.06142062493054102
transportation hubs,-0.06142062493054102
political turmoil,-0.06137730364893185
psi applicant,-0.06137434924520997
don,-0.06132384545008239
applicant live,-0.06131191949269074
philippine national,-0.06131051072437225
sor allegation deny,-0.06129334092658961
collect,-0.0612910744843422
leave country,-0.06126790585005311
make following finding,-0.061258599979951305
bombings,-0.06125370872643879
meet,-0.061246642165076866
water,-0.06120962530086941
hx,-0.06120875140352956
contact family member,-0.06116204825107078
counselor,-0.0610739439234064
wire,-0.06107284628202792
niece nephew,-0.0610698423508063
residency status,-0.0610482438904115
12 15,-0.061039959957722656
high school,-0.061009076616370304
kidnappings,-0.061006015720187455
2017 applicant state,-0.06099572907059998
spouse,-0.06098386995452373
